client,facility,system,device,channo,channame,chanunits,description
Woodside,Scarborough,IMMS,,377,ML 20 Angle,deg,Measured mooring line ML 20 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,378,ML 20 Latch Position,deg,Stopper latch angle for mooring line ML 20
Woodside,Scarborough,IMMS,,379,NW Supply Damper 1 ZSC,bool,NW Supply Damper 1 Fully Closed Indication
Woodside,Scarborough,IMMS,,380,NW Supply Damper 1 ZSO,bool,NW Supply Damper 1 Fully Open Indication
Woodside,Scarborough,IMMS,,381,NW Exhaust Damper 2 ZSC,bool,NW Exhaust Damper 2 Fully Closed Indication
Woodside,Scarborough,IMMS,,382,NW Exhaust Damper 2 ZSO,bool,NW Exhaust Damper 2 Fully Open Indication
Woodside,Scarborough,IMMS,,383,NW Exhaust Damper 3 ZSC,bool,NW Exhaust Damper 3 Fully Closed Indication
Woodside,Scarborough,IMMS,,384,NW Exhaust Damper 3 ZSO,bool,NW Exhaust Damper 3 Fully Open Indication
Woodside,Scarborough,IMMS,,385,NW Close Door,bool,NW Column Door Fully Closed Indication
Woodside,Scarborough,IMMS,,386,NW Close Hatch,bool,NW Column Hatch Fully Closed Indication
Woodside,Scarborough,IMMS,,387,NW ML PLC Watchdog,counter,Heartbeat Counter
Woodside,Scarborough,IMMS,,388,FBG001,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,389,FBG001-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,390,FBG002,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,391,FBG002-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,392,FBG003,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,393,FBG003-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,394,FBG004,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,395,FBG004-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,396,FBG005,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,397,FBG005-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,398,FBG006,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,399,FBG006-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,400,FBG007,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,401,FBG007-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,402,FBG008,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,403,FBG008-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,404,FBG009,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,405,FBG009-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,406,FBG010,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,407,FBG010-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,408,FBG011,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,409,FBG012-T,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,410,FBG013,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,411,FBG014,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,412,FBG015,nm,Raw fiber-optic Bragg grating wavelength
Woodside,Scarborough,IMMS,,413,FBG016,nm,Raw fiber-optic Bragg grating wavelength
